127.0.0.1, 2018-05-10 19:57:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249984
127.0.0.1, 2018-05-10 19:57:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.471477
127.0.0.1, 2018-05-10 19:58:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.281212
127.0.0.1, 2018-05-10 19:58:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.383658
127.0.0.1, 2018-05-10 19:59:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265586
127.0.0.1, 2018-05-10 19:59:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.163242
127.0.0.1, 2018-05-10 20:00:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249941
127.0.0.1, 2018-05-10 20:00:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.159207
127.0.0.1, 2018-05-10 20:01:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249943
127.0.0.1, 2018-05-10 20:01:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.155310
127.0.0.1, 2018-05-10 20:02:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234318
127.0.0.1, 2018-05-10 20:02:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.146455
127.0.0.1, 2018-05-10 20:03:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234336
127.0.0.1, 2018-05-10 20:03:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.172898
127.0.0.1, 2018-05-10 20:04:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234317
127.0.0.1, 2018-05-10 20:04:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152525
127.0.0.1, 2018-05-10 20:05:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249959
127.0.0.1, 2018-05-10 20:05:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.139396
127.0.0.1, 2018-05-10 20:06:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249958
127.0.0.1, 2018-05-10 20:06:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.150514
127.0.0.1, 2018-05-10 20:07:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234316
127.0.0.1, 2018-05-10 20:07:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.141905
127.0.0.1, 2018-05-10 20:08:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.203086
127.0.0.1, 2018-05-10 20:08:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.148153
127.0.0.1, 2018-05-10 20:09:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234314
127.0.0.1, 2018-05-10 20:09:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.154435
127.0.0.1, 2018-05-10 20:10:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249941
127.0.0.1, 2018-05-10 20:10:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.185338
127.0.0.1, 2018-05-10 20:11:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234332
127.0.0.1, 2018-05-10 20:11:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.155710
127.0.0.1, 2018-05-10 20:12:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249939
127.0.0.1, 2018-05-10 20:12:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152499
127.0.0.1, 2018-05-10 20:13:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.218753
127.0.0.1, 2018-05-10 20:13:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.130131
127.0.0.1, 2018-05-10 20:14:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249939
127.0.0.1, 2018-05-10 20:14:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.154347
127.0.0.1, 2018-05-10 20:15:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234333
127.0.0.1, 2018-05-10 20:15:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.132112
